Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
"methyl 2-[4-ethenyl-2,6-dihydroxy-3-(3-hydroxyprop-1-en-2-yl)-4-methylcyclohexyl]prop-2-enoate"	29487993.17	35478256.1	30734939.89	21674159.11	20256892.4	22326295.94	11431248.22	11523597.19	13861389.84	24328694.22	17958454.46	27108659.31	17683626.46	21294567.86	21712346.78	16858318.58	21509517.89	17471165.82	16681230.52	17737601.76	19018519.41
nor-6α-Οxycodol	1228898.366	1340053.532	1184930.695	2747001.044	2742627.78	1844252.944	12362267.69	10044408.63	6676434.523	53936724.56	70695087.15	52187979.84	2410300.197	6112542.957	3084006.283	3402612.102	3704412.647	1164030.789	1772733.307	423975.686	904781.7256
p-Coumaraldehyde	111021868.2	107124894.9	108399571.9	13582858.67	14170738.86	15876232.94	8700963.63	9420318.853	8185351.956	17065356.99	11004348.8	17905803.58	18881310.07	10969295.49	16436844.76	39847123.87	36179507.99	47814558.02	80960169.49	91978042.05	91670052.42
p-Coumaric acid 对羟基肉桂酸	2168241.809	1415880.883	1424414.78	1035089.226	680617.6716	1498057.771	7655514.272	8408794.061	8034792.912	27778663.09	23731680.76	27495238.59	23037265.65	25593227.36	28584936.61	18848401.52	16868047.28	21053614.48	20612381.47	18836676.4	18664283.21
phenylethylamide 275	105576.8604	114177.5301	166438.8318	219875.8442	333985.667	287777.1438	547097.8813	271833.2671	271490.6605	6677359.018	9862121.598	12011392.13	14503682.91	7696837.725	11354173.58	10185619.44	10768894.9	11603004.8	8116977.22	12831986.03	18136380.23
tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate	751572057.4	767737241	665529591.7	20419362.93	14591784.63	22712736.85	1878090.398	2342587.873	1832727.51	2647481.669	2092629.295	2047762.218	1828334.588	1433470.802	1272838.574	3098814.5	2788273.319	3142146.614	280130673.2	214756878.8	195711061.5
trans-3-Indoleacrylic acid	2085147183	2177049795	2047679119	202778384.7	232821501	297270799.9	763238983.2	987471433.4	690058179	966867551	688119052.5	1139507671	546919544.1	528793189.8	577715481.3	1208214134	1178316887	1401204978	1338761811	1428197747	1565677501
trans-Aconitic acid	18704739.09	18224511.81	16277255.94	16666423.98	16678050.63	17324966.44	9277370.951	10109726.27	8081984.731	12633939.96	14717928.1	17099443.66	50531452.58	48766810.84	61825289.27	72180775.14	67317324.86	71991316.89	60736864.26	62632323.63	65039255.74
zeta-Carotene	145786.2541	155305.4745	135963.2046	153415.4523	173711.6154	136759.7607	15266061.72	5842935.959	3490376.873	3860932.724	2621548.557	3543036.511	5040529.746	7587397.413	9270890.829	3549239.486	4177386.856	3999310.229	329146.9008	320149.4036	392354.5941
Υ-L-Glutamyl-L-glutamic acid	81145017.83	75935046.86	67862064.27	14740517.5	6155431.04	17682559.88	4755624.582	3819920.08	4956655.131	5645580.245	7039868.689	6531897.228	1693090.725	2762890.935	3128687.576	3247826.415	3726220.392	1662836.843	73095676.13	70944269.35	68865898.12
