Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
BC332_33401_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_09074_mrna	818.0	378.0	247.0	1270.0	1571.0	1886.0	1198.0	1306.0	1414.0	246.0	281.0	167.0	30.0	85.0	276.0	13.0	19.0	17.0	67.0	63.0	57.0
BC332_03110_mrna	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_19659_mrna	187.0	203.0	144.0	27.0	10.0	54.0	8.0	0.0	2.0	85.0	32.0	108.0	22.0	33.0	52.0	0.0	1.0	1.0	0.0	1.0	0.0
BC332_15798_mrna	5.63969	0.0	0.0	1.67644	4.75897	1.56567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
BC332_18698_mrna	1249.0	918.0	700.0	865.0	840.0	801.0	519.0	450.0	683.811	652.0	542.0	513.0	741.0	780.417	1045.0	73.0	9.01881	30.0	145.174	192.201	322.215
BC332_23209_mrna	1.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	17.0	3.0	0.0	0.0	0.0
BC332_16034_mrna	732.0	794.0	390.0	561.0	512.0	444.0	573.0	444.0	533.0	473.0	405.0	358.0	299.0	451.0	366.0	434.0	529.0	575.0	812.0	983.0	631.0
BC332_13943_mrna	12.0	3.0	4.0	233.0	93.0	72.0	147.0	81.0	112.0	136.0	169.0	122.0	147.0	146.0	228.0	32.0	24.0	19.0	50.0	15.0	62.0
BC332_02020_mrna	8.0	4.0	8.0	11.0	15.0	27.0	34.0	26.0	37.0	16.0	17.0	17.0	22.0	10.0	4.0	31.0	0.0	12.0	4.0	6.0	2.0
BC332_17680_mrna	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_12813_mrna	194.0	918.0	393.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_12683_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_02994_mrna	458.0	1436.0	505.0	59.0	36.0	91.0	32.0	31.0	44.0	42.0	27.0	31.0	50.0	33.0	66.0	3.0	1.0	1.0	10.0	24.0	18.0
BC332_19909_mrna	1181.0	1364.0	787.0	1391.0	1427.0	1573.0	1606.0	1281.0	1832.0	2740.0	2431.0	2126.0	734.0	766.0	832.0	401.0	276.0	314.0	653.0	676.0	417.0
BC332_01084_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
