Name,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28
Dihydroneopterin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dihydroorotate,3881.7175,798.095,184.265,67.10499999999999,78.745,76.65,65.685,57.33,96.42,62.88,74.52,63.575,76.955,71.57,63.39,71.33,40.28,58.705,64.21000000000001,54.865,56.92,41.33,32.15,50.575,375.665,95.52,63.80499999999999,76.27000000000001,1011.505
Dihydropteroate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dihydroxyacetone-P,1666.115,278.425,341.615,197.935,190.72,285.385,273.58500000000004,237.915,265.545,227.51,197.29,200.29,195.61,214.0,249.205,228.145,213.705,222.22,176.85500000000002,178.245,147.01999999999998,198.525,154.42000000000002,119.83,1161.22,1746.66,1437.96,1356.495,1709.035
D-Pantothenic acid,65.9075,182.615,152.585,114.945,112.86,149.49,187.125,219.095,188.745,207.655,200.94,228.185,198.58,201.335,204.635,191.84,178.805,209.94,183.75,134.115,143.34,132.025,149.85500000000002,170.825,68.545,56.955,88.16,64.245,63.075
dTDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erythrose 4-P,48.4125,39.56999999999999,36.94,36.885,39.745000000000005,35.405,44.825,47.790000000000006,43.415,38.325,48.5,49.035,63.075,59.385000000000005,74.9,50.56999999999999,49.855,61.075,58.63,63.785,79.32,74.835,71.0,85.55,80.13,69.8,73.14,81.395,61.17
Flavin adenine dinucleotide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fructose-1,6-Bisphosphate",2543.28,352.13,83.60499999999999,68.95,65.66,59.025,36.93,30.02,44.2,41.77,33.61,28.31,52.915000000000006,47.545,37.63,48.835,36.15,42.125,48.34,32.135000000000005,41.115,36.86,37.03,46.31,1139.355,2437.365,1602.06,1798.44,1940.19
Fumarate,1504.265,324.77,286.27,252.695,230.705,224.505,191.56,198.66,155.02499999999998,178.93,192.74,213.79,210.525,181.06,233.71,201.985,175.12,222.915,248.475,282.33500000000004,238.42,250.575,238.375,169.83499999999998,1710.505,2652.9,2041.975,1653.86,2011.77
GABA,304.12,120.84,123.29,171.65,195.815,390.03,519.99,479.115,494.065,375.87,278.71,159.985,139.22,91.995,94.645,80.31,60.085,54.845,80.945,81.88499999999999,81.80000000000001,104.54,96.465,110.63,139.78500000000005,144.175,173.99,258.105,320.305
gamma-Glutamyl-cysteine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDP,18.8525,25.37,21.86,14.63,13.445,10.1,14.45,17.47,26.200000000000003,19.42,20.925,18.59,23.555,31.845,28.13,23.4,28.18,31.935,36.605,37.370000000000005,42.235,30.16,27.03,43.505,15.91,20.045,14.265,14.05,13.155
Glutamic acid,32990.045,27069.370000000003,23866.075,28449.2,33749.565,24366.315,17597.01,13346.31,8384.1,7028.639999999999,4716.26,3552.165,2708.6400000000003,2066.16,2027.45,2418.4750000000004,1995.08,2411.78,4642.129999999999,5832.215,5659.08,5767.425,5275.74,5153.504999999999,32850.605,39576.805,42180.7,41419.575,34238.215
Glutamine,3809.09,924.835,638.6949999999999,1710.425,2472.365,1251.225,1033.42,716.14,533.935,491.71,279.81,210.63,130.68,109.095,87.735,89.19,79.875,92.07,230.35,249.685,200.125,155.16,127.98,115.445,4556.245,5430.87,6327.16,4781.49,3496.005
Glycerol 3-Phosphate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glycine,432.3625,479.945,461.875,318.39,1044.3,233.63,263.04,240.86,448.29,574.8199999999999,257.57,228.335,283.345,235.01,309.20500000000004,300.69500000000005,195.775,220.685,328.885,266.415,267.29,214.905,181.07,239.88,381.985,359.255,807.775,443.105,308.295
