Name,20,21,22,23,24,25,60,61,62,63,64,65,66
1,1088.375,713.875,1719.166667,1046.875,327.5,1179.5,3082.5,1101.3,2229.5,2252.5,1331.357143,1529.75,2297.5
2,4022.125,6889.125,4004.666667,6003.125,5112.5,3308,4666.5,3844.5,4232.5,4479.5,4369.642857,4550.25,4433
3,5506,18028.625,5121.833333,6331.125,4790.5,5423.5,5619.5,5885.9,5523.625,5806,5173.857143,5762.75,6294.5
4,2551.375,3670.0625,2686.333333,4119.75,3125,2597.5,3917.5,2826.9,3103.25,4025.5,3092.357143,3133,3182
5,2897,2970.8125,2135.5,2497.5,1259.5,2580.666667,3369,2709.1,2812.125,2887.5,2836.714286,2253.625,4266.5
6,1118.25,1451.1875,1302.333333,1623.875,1852,1438.333333,1814,1465,1667,2312,1675.428571,1493.125,1700.5
7,1306.125,1665.875,1604.833333,1777.625,2163,1708.5,2800,1727,2220,3144.5,2141.5,1993.25,2431
8,4532.875,13047.75,4216.5,6580.75,4438,4733.5,3572.5,4426.2,4816.625,4639,4109.214286,4271.375,4498.5
9,4117.125,3311.875,3327.166667,5546.25,4078.5,2819.5,5142.5,3791.5,3702.875,5201.5,4198.785714,3799.75,3584.5
10,2141.875,1765.8125,1546.166667,2489.25,2072.5,1537.833333,2327.5,1867.6,1922,2311.5,2069.785714,1864,1836.5
11,1762.375,2207.25,1783.833333,4023.75,2984.5,1422.333333,1698,2045.9,1740.875,3366,2309.5,2294.5,1546.5
12,2574.625,3511.875,2526.833333,4921,4147.5,2698.5,3543,2555.2,3010,4204,3345.357143,3372.125,2813
Glycine,4407.5,4011.8125,5136,3785.875,2773.5,3970.666667,11195.5,4532.5,6712.25,9266,6689.071429,6002.875,7503.5
14,1563.5,1417.9375,1451.333333,1420.125,884.5,1332.333333,1924,1362.4,1730.625,1461,1602.214286,1484.5,1351.5
15,1980.625,1783.625,2467.833333,1997.875,975,1425.5,1336,2092.8,2186.75,1977,1631.142857,1969.625,1881
16,2745.875,2829.375,2249.833333,3460.25,2779,2392.333333,2184.5,2295.1,2834.125,4344,2791,2219.625,2543.5
17,3657.75,4165.375,4155.666667,2783,1497.5,3481.166667,2666,3079.1,3325.75,2249,2984.571429,3021.75,3254.5
18,4432.125,5217.75,4257.333333,5428.375,5349.5,4133.166667,5318.5,4521.2,4522.625,5108.5,4627.142857,4787.375,4744.5
19,1246.25,1747.5625,1125,1905.375,2174,1364.833333,2342.5,1467.3,1329.25,2037.5,1559.071429,1404.625,1444.5
20,3477,3608.4375,2948.666667,2858,4126,3410.5,1596.5,3152.9,3364,1677,2986.142857,3154.125,3513
21,20215.75,23634.0625,27320,23726.375,13576.5,20303.16667,49575,22786.7,34584.75,46351.5,32277.42857,28597,47442
22,2819.375,3180.5,2158.5,2366.5,3111,2644,1323,2399.3,2572.5,2168,2767.071429,2679.625,4223.5
23,2779.25,3543.1875,2147.333333,3210.75,2978,2568.333333,1568.5,2586.7,2603.375,2767,2960.071429,2899.625,3279.5
24,49445.25,46042.5625,59540.83333,52492.875,42186,35779.66667,36383,50665,48472.5,34625,55639.78571,44878.75,87371
Glycerol,3903.375,11132,3933.5,5769,5383.5,3826.666667,3524,4440.8,3438.625,4041.5,4317.571429,4027.125,4026
26,3440.25,6307.1875,3003.833333,2070.5,2352.5,3479.666667,1331.5,2730.3,2473.75,1611,2118.928571,2830,3153
27,14220.625,96925.4375,12823.16667,19021.875,13225.5,12745.66667,12998,13547.6,13545.125,15000,13602.07143,11922.5,15410.5
28,9434,34888.5625,6888.833333,13690.75,9211,7065.333333,11339,11020.6,6847,8036,8795.714286,7808.375,9065.5
29,1418.5,1345.125,1571.333333,1320,1377,1351.666667,1457.5,1260.1,1328.125,1728,1628.357143,1325.75,1321.5
30,2498.5,2000.125,2935.833333,2241.5,1924,2825.5,3222,2725.3,2380.5,10133.5,3498.285714,3344.875,1643
