Name,0010-04-02,0011-04-02,0011-07-18,0011-09-26,0011-11-21,0011-12-04,0012-01-05,0012-02-06,0012-03-09,0012-04-02,0012-06-02,0012-10-28,0012-11-01,0012-12-07,0013-01-22,0013-02-06,0013-04-11,0013-06-05,0013-08-07,0013-10-03,0013-11-01,0013-12-18,0014-01-08,0014-03-21,0014-04-24,0014-06-02,0014-08-04,0014-09-12,0014-11-18,0014-12-13,0015-01-05,0015-03-31,0015-06-17,0015-07-01,0015-08-11,0015-09-08,0015-10-13,0015-12-15,0016-01-05,0016-02-24,0016-04-21,0016-05-09,0016-06-09,0016-07-05,0016-08-22,0016-10-04,0016-12-19
5-Acetylamino-6-amino-3-methyluracil(2),744867.7,1345837,475622.7,666244.6,537218.1,438531.3,1066264,708535.7,749269.3,67958.61,671557.7,486127.2,802802.2,949370.7,331923.4,774983.7,503177.2,1248249,651413.1,1755438,529533.6,1250212,1068551,1569512,1450668,1189613,662286.3,954778.3,1106698,709265.2,899075.2,600689.9,761764.6,1029202,355237.9,836252.4,1097822,780277.1,858620.5,539573,663283.7,1155323,837733.7,836196.8,1316165,1931778,620802.2
Butyric acid|Isobutyric acid,114694.4,129967.5,142236.4,105293.3,125931.7,168696.2,119761.9,131139.9,121076.5,97389.23,126510.7,105391,71054.71,102292.5,98127.06,111175.8,163383.7,115923.1,121241.2,121481.6,111694.8,182464.3,146036.5,179331.1,151982.4,214548.9,156090.8,140206,221731.2,146841,153303.7,125437.8,130109.8,160103.2,146954,186698.4,159802.6,164495.3,226366.7,205781.1,160978.9,188256.4,162898.6,108630.6,159293.6,118545.5,127800.7
Xanthine,1046143,1113240,485816.5,1137785,1150115,2036741,692138.2,958073.5,1377858,896838.3,809528.5,1120511,1246118,1485719,1328810,912420.2,1219917,1139982,1416009,1287846,931667.5,1615090,1350921,2061484,2227582,958832.7,1767917,1136812,878678,1114205,1064266,1119089,755914.2,1743035,467142.4,1181427,1056754,811569.2,1061796,1402969,1012837,1454821,1163764,1303529,1091280,1717251,919534.8
PE(P-36:3),161169.7,590671.2,621080.8,510012.2,340147.8,952713.8,294758.2,333580,235129.6,257529.7,315198.3,746041.2,702329.1,509836.2,289312.8,467869.8,460931.2,595352.3,334844.4,324970.7,653843.7,1091058,746900.4,622496.2,401277.3,554628,445220.7,408677.5,480630.4,452459.2,666541.7,1437061,384412.8,270837.8,1421615,548348.9,442315.8,802886.5,543662.4,537050.3,1386878,486004.3,560257.5,561393.1,861762.8,385379,769814.4
"2,3-Dihydroxyvaleric acid(1)",95010.91,87966.48,1305398,294585.2,546798.6,660858.5,234687.4,191958.7,151336.8,114093.6,519939.7,325111.4,83592.35,72373.8,70613.95,99448.77,378339.3,131348.4,134854.8,139636.5,40054.03,1641741,592941.6,792139.6,121869.5,562596.9,348060.7,1079219,228011.9,596730.8,732540.3,710627.2,465254.9,462330.5,983537,2628946,241692.5,947860.8,554780.4,428568.6,299497.7,942398.1,806004.6,84976.31,486265.5,136931.3,1014734
Pyruvic acid,10858330,12232260,14630830,18015410,22276400,5428670,10548510,8669143,15804650,13437160,12250910,14875810,13850450,35355750,14792980,15265840,19079380,5718713,3042474,5672846,7736995,6921461,4010305,6393228,6980782,3043771,3414120,6178642,5434622,2669190,2444435,2992662,1637036,3006686,2317030,2703998,3561219,3364509,3810863,2982506,3638966,4193815,2468385,3209797,3473560,5675385,8960609
PE(36:2),6788427,8859904,5659772,4918309,5167108,3597885,3728979,3284465,3552656,7395810,4263211,5943910,4231570,2965519,2905001,2681387,5273904,4301668,3191240,3160124,6721836,4234936,4028810,5361969,3259621,3890016,6794633,4534212,4066354,2390663,6059861,4525372,3823269,1878196,9905440,4112602,3010403,3499963,3512797,2742535,6536863,3687635,3801041,3047823,4202765,2329970,4293638
Hydroxybutyric acid(1),7330676,12384210,10199920,10527430,10629850,10935990,7793094,11192930,9100737,8158604,7356692,10408050,8945354,10487040,8641662,8983811,11565930,9542035,13212980,9519468,8114711,12862990,10293800,12102970,17208820,17052900,26468070,10804130,10799900,7896267,8115091,8092713,6212944,13240420,8103788,13183030,10384630,9952116,10934840,15634780,12503010,13958490,13583300,8377901,10181640,5900329,7734934
N-formylmethionine,170870.1,141028,203585,133789.4,153646.3,210962.6,121263.8,4147.035,2811.816,3254.734,128501.2,109865.5,54444.2,159100.4,140814.3,168106.5,148769.4,158713.9,132028.5,148588.7,104300.1,159403.8,128364.7,153778.8,159498.6,154330.8,120305.1,153640.2,165040.5,119529.5,154544.8,132321.8,104110.4,138361.5,132106.7,190918.1,164443,162557.5,137589.8,150623,125852,166025.1,130628.2,123092.7,157344.7,156790.2,142461.2
C7H12N2O3(3),332202.9,205916.1,221910.6,204948.4,218968.8,211896.1,207470.9,94466.92,32090.66,63539.37,74897.79,186194.3,35834.74,315101.3,163023.4,330083.4,184769.9,80515.78,64447.93,71328.02,205198.6,80135.28,54183.78,95170.21,95416.78,71576.6,66009.19,74073,91379.87,64456.54,76503.93,66447.2,68734.82,49834.26,54146.09,68535.44,75176.21,66301.94,72413.31,61633.95,71295.22,67572.81,55555.26,86121.55,69287.41,97477.95,112280.8
Ethylmalonate,153879.8,126933.3,147012.2,138578.7,155777.2,123945.5,155500.8,149531.4,130244.1,119029.8,171675.2,135058.1,125349.7,142783.5,157710.6,107953.9,148531.6,231339,160076.6,249678.7,131308.4,304472.9,183558.1,268522.2,223141.9,283532,355065.6,212699.3,277864.2,177055.4,174311,197448.3,86110.15,248411.3,159438.6,265396.2,224752,183554.4,252879,209611.1,160130.1,211254.9,238042.9,180138.2,155807.1,131866.6,146198.3
PI(34:2),561211.1,646677.5,509784.8,545746.8,523804.9,414131.9,420680,305732.4,404572.5,517845.3,474509.1,805047.1,971443.4,569594.8,455798.2,572585.1,644499.5,374503.4,302218.8,351634.6,545757.3,239364.3,366410.7,384222.2,286309.9,444315.2,651023.9,251195,424076.7,233870,407715.9,389000.5,301544,166767.5,1117010,248789.5,332183.5,223367.7,342836.6,194773.5,870749.6,523334.9,327613,329171.5,251317.8,201743.2,409744.9
11-beta-Hydroxyandrosterone-3-glucuronide,103383.6,103534.3,190309.3,144004.1,147932,39670.9,330711.8,66502.1,174457.3,135865.1,132478.1,189336.2,15933.69,183152.8,169758.8,63385.92,167832.8,99665.65,108291.6,149693.4,130800.9,98457.83,125822.2,144509.2,137344,119728.2,121861.3,116463.9,92586.33,110946.3,126292.1,66359.1,93767.81,76148.7,100509,91366.44,113985.3,96659.7,110913.7,132867.4,100162.1,136305.6,123053.8,122332,63008.92,91537.2,73378.98
Allantoin,933392,10776.48,121713.7,28672.45,207936.4,5582743,226368.2,1365325,45452.58,34839.61,89667.02,13369.11,11202.51,194907.8,1635833,963233.3,276288.5,1485723,1359106,1254317,22428.59,1775702,1704707,1212474,871186.7,1177836,1156786,1059514,1473806,1188541,1840178,1213782,1177150,899317.8,1049985,1601232,1420308,1456853,1152387,1160477,762260.3,887782.4,963026.7,2224731,1139835,1214241,893027
L-Isoleucine|L-Leucine,3283820,4278369,6908608,3365381,6211699,6849639,5256680,4758828,3021757,3665110,3705288,3689520,2834653,4857337,4701642,4926416,6346645,6564467,5505384,6073702,3144045,7879155,5596291,6368965,7090963,8633073,8898299,7495984,6811262,5105229,5904684,5515854,4816344,6425912,6441778,6779684,5977179,6885553,8310888,6452002,5662806,6093915,6760574,5257547,6510155,6953329,7461566
L-Formylkynurenine,19928.54,9263.483,20821.61,29053.76,13590.91,19364.74,31471.09,25652.73,16845.85,27167.48,26918.66,15473.63,39983.78,9641.795,19240.12,25125.4,29012.49,192835,269436.9,272777.3,37213.95,359005.5,219418,225816.7,181937.1,185422.5,323616.6,214142.6,518392.2,362464.9,342789.5,280680.4,291571.9,182461.2,214411.8,568075,184353.2,402705.5,211017.5,214671.2,93325.92,199615.4,186198.4,152701.7,369267.4,123121.8,147759.2
C7H14O7(2),340238.6,49030.49,324996.8,107358.7,377838.6,87558.37,165084.3,95410.7,46321.89,82032.92,147924.9,153112.1,21050.07,203213,178734,122869.6,233094.5,141437.8,113212.6,137103.8,124172,179832.3,146893.3,194266.6,153379.9,134686.7,254432.3,118983.9,137584.1,145341.4,179571.8,164444.4,104945.9,152070.4,163448.8,225800.8,158982.5,128022.4,145576.7,142699.2,127053,169038.2,166584.8,124493.4,162931.6,125393.6,122642.9
Cys Gly,1937493,964672.5,2291233,1308708,2504634,1738953,1573723,2501463,542586.3,604690.2,464514.4,984299.9,566187.1,2494554,2453925,2223237,2425935,1242902,1266290,1123361,833375.1,1350997,952998.8,1571549,1641465,1372083,1948996,1077518,1621419,1252288,1390803,1075812,883605.3,952868.6,919866.9,1309269,1095582,1119583,1321754,1091819,1324159,950290.7,1154817,1424767,1127185,1466080,1942521
Hydroxyhippurate(2),189275.7,127087.6,37349.88,16652.9,18818.68,43155.79,92978.01,47937.39,66883.82,28543.86,14760.06,3215.891,5172.704,13996.18,50808.27,49983.23,191731.4,142865.6,45455.35,84848.79,8072.928,221683.1,93067.93,105242.8,82599.78,92369.02,139261.2,118052.1,162778.7,143573.6,75540.53,219147,64033.87,79032.79,802833,197387.8,70777.68,221286.6,102287.5,42675.5,58413.74,128142.2,156958.4,136792.9,171155.5,297815.6,123367.9
ethyl glucuronide,285182.3,348222.8,228821.1,307576.9,346048.8,389097.9,384093.5,372821.9,396062.6,271320.6,325013.2,322608.4,338549.1,323350.8,342347,312047.8,305515.3,405210.2,328951.4,479447.7,296162.3,490134.5,467856.8,389712.9,506463.9,417292.6,292010.9,446477.8,670325.7,370737.9,354708.1,323981.3,202441.2,495378.7,399659.2,378219.9,494852.6,398825.6,430173.5,400547.1,492690.9,508930.2,465293.6,407194.2,430004.8,328769.1,453880.9
C6H10N2O4,169191.9,233143.7,229847.7,218148.5,284923,197547.5,247547.2,240882.8,229809.7,223129.4,244680.5,209653.6,175789.1,246103.5,195323.1,161828.6,388628.7,202919.5,3371995,251968.1,293380.8,274279.7,320660.7,212695.7,198510.6,283686.7,231417.6,138976,232257.9,154537.7,236045,192106.4,243234.9,221089.6,200945.1,290963.8,248109.9,239426.4,284773.5,186917.4,141138.9,207040.9,161203.8,146450.3,167667.6,213837.8,171213.5
