Rank	Name	Granger	log2FoldChange	Score	Cluster
1.0	Cc72_00034724-RA	0.9447190809190974	0.9634926766285208	1.908211757547618	4
2.0	Cc72_00051266-RA	0.9437281355896219	0.9313158617993936	1.8750439973890156	4
3.0	Cc72_00013317-RA	0.9438467386469225	0.8912494742685533	1.8350962129154758	4
4.0	Cc72_00018261-RA	0.9105713900487042	0.905190562594393	1.8157619526430973	3
5.0	Cc72_00012897-RA	0.8160282059082813	0.9886445498771328	1.804672755785414	3
6.0	Cc72_00012896-RA	0.7994725328528864	0.9398481746555805	1.739320707508467	3
7.0	Cc72_00006854-RA	0.8197415059556467	0.8765738290872375	1.6963153350428841	2
8.0	Cc72_00044020-RA	0.9147158215528695	0.7029696431427213	1.6176854646955907	4
9.0	Cc72_00011482-RA	0.9886675477099173	0.6277165109762648	1.6163840586861822	2
10.0	Cc72_00013893-RA	0.7232417475639847	0.8862414198692743	1.609483167433259	3
11.0	Cc72_00018258-RA	0.9432017385378713	0.6560810019162662	1.5992827404541374	6
12.0	Cc72_00027788-RA	0.7069846539163074	0.8862414198692743	1.5932260737855817	0
13.0	Cc72_00002125-RA	0.9894442755084961	0.6016020159126779	1.591046291421174	2
14.0	Cc72_00011591-RA	0.5686603401766778	1.0	1.5686603401766779	0
15.0	Cc72_00015797-RA	0.6121670936038917	0.9557353201770429	1.5679024137809345	0
16.0	Cc72_00016203-RA	0.9218112915178153	0.6439076629151144	1.5657189544329295	4
17.0	Cc72_00000153-RA	0.9593176749821564	0.6047463019422928	1.5640639769244493	6
18.0	Cc72_00005979-RA	0.6513326834183653	0.9125822667468101	1.5639149501651755	0
19.0	Cc72_00018242-RA	0.9400964998958138	0.6170144585703388	1.5571109584661524	4
20.0	Cc72_00035646-RA	0.9912625224270704	0.5633956699913698	1.5546581924184402	2
21.0	Cc72_00008650-RA	0.9359612831515453	0.6170976589464402	1.5530589420979855	4
22.0	Cc72_00036202-RA	0.9873914188071058	0.5653748300952834	1.5527662489023892	6
23.0	Cc72_00040177-RA	0.9815321734542636	0.5686682202256386	1.5502003936799023	2
24.0	Cc72_00017958-RA	0.9870316201720354	0.5616883909220458	1.548720011094081	2
25.0	Cc72_00011962-RA	0.6113838098550912	0.9372334716741383	1.5486172815292294	0
26.0	Cc72_00044059-RA	0.9307885672749725	0.6176981246583484	1.548486691933321	4
27.0	Cc72_00017498-RA	0.9784975449607168	0.5673824289303919	1.5458799738911089	2
28.0	Cc72_00013316-RA	0.9452521121657541	0.600309320719851	1.545561432885605	4
29.0	Cc72_00014763-RA	0.9875636889502238	0.5550729073107934	1.5426365962610173	2
30.0	Cc72_00039030-RA	0.5683812914643378	0.9679023137744489	1.5362836052387867	0
31.0	Cc72_00048742-RA	0.9834046364069333	0.55135828970612	1.5347629261130533	2
32.0	Cc72_00038117-RA	0.9755028279195386	0.5584454595586171	1.5339482874781556	3
33.0	Cc72_00017764-RA	0.9934313165870297	0.5395349110980411	1.5329662276850708	2
34.0	Cc72_00005217-RA	0.6141341534565324	0.9183252196150744	1.5324593730716067	0
35.0	Cc72_00001651-RA	0.9041210727654526	0.627836777761938	1.5319578505273905	2
36.0	Cc72_00036432-RA	0.9267217066159746	0.6040681654587193	1.530789872074694	3
37.0	Cc72_00023045-RA	0.9929705756465638	0.5373567769408646	1.5303273525874284	2
38.0	Cc72_00023004-RA	0.9364570243840733	0.5937167365281114	1.5301737609121848	4
39.0	Cc72_00011947-RA	0.9868697999918237	0.5430545149237423	1.529924314915566	2
40.0	Cc72_00035025-RA	0.9746703275489268	0.5526787816150747	1.5273491091640015	6
41.0	Cc72_00012603-RA	0.9911847716409766	0.53609279590981	1.5272775675507866	2
42.0	Cc72_00034233-RA	0.9915408689959193	0.5332412111452727	1.524782080141192	2
43.0	Cc72_00012045-RA	0.984071622650588	0.5395476407195395	1.5236192633701275	2
44.0	Cc72_00002001-RA	0.9703068771328074	0.5523897342831041	1.5226966114159115	6
45.0	Cc72_00022587-RA	0.9907730620750994	0.5301819150885403	1.5209549771636397	2
46.0	Cc72_00035023-RA	0.9616828510427398	0.5591398190491427	1.5208226700918823	6
47.0	Cc72_00023299-RA	0.9901442515137817	0.5306712973177754	1.5208155488315571	2
48.0	Cc72_00035258-RA	0.978919819598974	0.5414922411011089	1.520412060700083	2
49.0	Cc72_00027341-RA	0.9826255978418081	0.5377851503072865	1.5204107481490947	6
50.0	Cc72_00031633-RA	0.9871493134969462	0.5313358664007284	1.5184851798976746	2
51.0	Cc72_00047187-RA	0.9881800367431434	0.5298534187958979	1.5180334555390411	2
52.0	Cc72_00025117-RA	0.9890498081999896	0.5289514596971511	1.5180012678971406	2
53.0	Cc72_00034612-RA	0.9906208808362008	0.5269881686164238	1.5176090494526246	2
54.0	Cc72_00035380-RA	0.9812233757633058	0.5362663874242697	1.5174897631875754	2
55.0	Cc72_00054890-RA	0.9656182086843146	0.551426445665163	1.5170446543494776	6
56.0	Cc72_00033863-RA	0.9925168022247981	0.5241739693120394	1.5166907715368376	2
57.0	Cc72_00041128-RA	0.9919745366052543	0.5239016237280146	1.5158761603332689	2
58.0	Cc72_00054676-RA	0.9871692962177571	0.5284094415522195	1.5155787377699765	2
59.0	Cc72_00044011-RA	0.9727513252321002	0.5420669100777303	1.5148182353098305	2
60.0	Cc72_00038284-RA	0.9267317979407453	0.5880652898330132	1.5147970877737587	4
61.0	Cc72_00055938-RA	0.9773697383168638	0.5357661603220636	1.5131358986389274	2
62.0	Cc72_00030620-RA	0.961613924106904	0.5514506349607546	1.5130645590676588	2
63.0	Cc72_00022973-RA	0.9794317967276	0.5333097286515736	1.5127415253791736	2
64.0	Cc72_00014129-RA	0.9756835276844001	0.5366902690945455	1.5123737967789457	6
65.0	Cc72_00007385-RA	0.9370434018292795	0.5751908783173157	1.5122342801465951	4
66.0	Cc72_00011736-RA	0.9747006670337828	0.5364439122922826	1.5111445793260654	6
67.0	Cc72_00005182-RA	0.9211991212215449	0.5894948237321834	1.5106939449537284	2
68.0	Cc72_00048654-RA	0.9821881331391752	0.5276760809060786	1.5098642140452538	2
69.0	Cc72_00048991-RA	0.9649822085519005	0.5444454063065325	1.5094276148584331	2
70.0	Cc72_00029717-RA	0.9500449941842526	0.5592634479629974	1.50930844214725	2
71.0	Cc72_00048939-RA	0.9405022977138006	0.5682956668063643	1.508797964520165	6
72.0	Cc72_00006023-RA	0.627308995332994	0.8812688972375979	1.508577892570592	0
73.0	Cc72_00029942-RA	0.9720891506908068	0.5361514095757782	1.508240560266585	2
74.0	Cc72_00055834-RA	0.9861880068570592	0.5219938222240517	1.5081818290811109	6
75.0	Cc72_00009543-RA	0.9406794436447616	0.5674503008938024	1.508129744538564	4
76.0	Cc72_00037530-RA	0.9829339143587416	0.5246519210650357	1.5075858354237772	6
77.0	Cc72_00025816-RA	0.9279872851077455	0.5790343515975904	1.507021636705336	4
78.0	Cc72_00042239-RA	0.9728900190488643	0.5337629953744238	1.5066530144232881	6
79.0	Cc72_00007344-RA	0.9584168281134642	0.5482099547122028	1.506626782825667	2
80.0	Cc72_00013634-RA	0.9765854848302375	0.529165811567471	1.5057512963977087	2
81.0	Cc72_00008889-RA	0.5750742489298515	0.9306216690949649	1.5056959180248164	0
82.0	Cc72_00019375-RA	0.9909048865974259	0.5142161663271458	1.5051210529245718	6
83.0	Cc72_00017762-RA	0.9740387336579126	0.5296571536594312	1.5036958873173438	4
84.0	Cc72_00013067-RA	0.9863528666575474	0.5169367374165121	1.5032896040740595	2
85.0	Cc72_00056001-RA	0.9498640411908552	0.552175907582934	1.5020399487737892	6
86.0	Cc72_00034723-RA	0.5691306483975079	0.9328751384582901	1.5020057868557979	0
87.0	Cc72_00034565-RA	0.9830062828098531	0.5172523382576113	1.5002586210674644	2
88.0	Cc72_00041333-RA	0.9667118162953979	0.5334960176812034	1.5002078339766012	3
89.0	Cc72_00049994-RA	0.9855971483914475	0.514372569827942	1.4999697182193894	2
90.0	Cc72_00028452-RA	0.9820683411926502	0.5177627054442951	1.4998310466369453	2
91.0	Cc72_00013227-RA	0.9643913549092413	0.5351067006467395	1.4994980555559807	2
92.0	Cc72_00046620-RA	0.9414724685056668	0.5579569310845469	1.4994293995902137	6
93.0	Cc72_00021598-RA	0.9877181255757251	0.5104461437697154	1.4981642693454407	2
94.0	Cc72_00017687-RA	0.9726899766785285	0.5250762906980792	1.4977662673766077	2
95.0	Cc72_00010293-RA	0.9368431234423665	0.5604599440635993	1.4973030675059658	2
96.0	Cc72_00011250-RA	0.5676122014171426	0.9296211582063573	1.4972333596235	0
97.0	Cc72_00038264-RA	0.9750894305479327	0.5218730942981374	1.49696252484607	2
98.0	Cc72_00024394-RA	0.9874937464928647	0.5093904333473276	1.4968841798401922	2
99.0	Cc72_00055072-RA	0.9819142908545523	0.5149519701589597	1.496866261013512	2
100.0	Cc72_00001634-RA	0.9912325810801635	0.5054967206334406	1.496729301713604	2
101.0	Cc72_00012160-RA	0.5802773108999038	0.9161971559024623	1.4964744668023662	0
102.0	Cc72_00035944-RA	0.9268211704589892	0.5694560741061842	1.4962772445651733	4
103.0	Cc72_00005795-RA	0.9416758763301802	0.5543508601630853	1.4960267364932656	6
104.0	Cc72_00038224-RA	0.9516863757718167	0.5440439500419842	1.4957303258138008	2
105.0	Cc72_00034499-RA	0.9527278705049271	0.5427194850411649	1.495447355546092	2
106.0	Cc72_00001572-RA	0.9689359467892604	0.5264300570512784	1.4953660038405387	6
107.0	Cc72_00028342-RA	0.9888843955662042	0.5058198198989684	1.4947042154651726	2
108.0	Cc72_00054633-RA	0.9835251074712933	0.5111176024640725	1.4946427099353659	2
109.0	Cc72_00045821-RA	0.998527334279045	0.49611107712554114	1.494638411404586	7
110.0	Cc72_00034924-RA	0.5714051123179532	0.923202734430139	1.4946078467480923	0
111.0	Cc72_00052320-RA	0.940238388927966	0.5537534916003611	1.493991880528327	4
112.0	Cc72_00006062-RA	0.9931310018250435	0.5008330890616295	1.493964090886673	2
113.0	Cc72_00040431-RA	0.9119760977606461	0.5817975737079119	1.493773671468558	4
114.0	Cc72_00030905-RA	0.9683996130942385	0.5251893014025037	1.4935889144967422	2
115.0	Cc72_00017765-RA	0.945160319277545	0.5481970603554566	1.4933573796330015	4
116.0	Cc72_00011251-RA	0.5683812914643378	0.9247709993872381	1.493152290851576	0
117.0	Cc72_00054115-RA	0.9837491463818222	0.5093904333473276	1.4931395797291498	6
118.0	Cc72_00023966-RA	0.9796599825206903	0.5129580060027548	1.492617988523445	6
119.0	Cc72_00013039-RA	0.9481047491006358	0.5443696073712379	1.4924743564718737	2
120.0	Cc72_00032748-RA	0.9680134411804809	0.5243306273730906	1.4923440685535714	2
121.0	Cc72_00011526-RA	0.9887366208659144	0.5035069763962591	1.4922435972621735	6
122.0	Cc72_00015045-RA	0.9628928137297692	0.529220447766811	1.4921132614965802	2
123.0	Cc72_00015110-RA	0.8876983593242027	0.6039968472060628	1.4916952065302655	4
124.0	Cc72_00033888-RA	0.9876536054849492	0.5037788168331456	1.4914324223180948	2
125.0	Cc72_00040582-RA	0.983398277610281	0.5072301416938252	1.4906284193041062	2
126.0	Cc72_00040819-RA	0.98658920695569	0.5038921868015089	1.4904813937571988	2
127.0	Cc72_00018069-RA	0.9793932462026531	0.5109922847636866	1.4903855309663396	6
128.0	Cc72_00013821-RA	0.9787771025988501	0.5114921268132694	1.4902692294121196	2
129.0	Cc72_00001951-RA	0.9659289472937976	0.5241866486747966	1.4901155959685943	4
130.0	Cc72_00028236-RA	0.9869363581206407	0.5030140176455342	1.489950375766175	2
131.0	Cc72_00028337-RA	0.9884830922638739	0.5012391377638298	1.4897222300277035	6
132.0	Cc72_00004494-RA	0.9750253217808628	0.5144721392199921	1.489497461000855	6
133.0	Cc72_00054719-RA	0.9849937891205436	0.5044750819691283	1.489468871089672	6
134.0	Cc72_00053904-RA	0.9401102011171297	0.5492105107201958	1.4893207118373255	2
135.0	Cc72_00034040-RA	0.9928912793050488	0.4964030844244578	1.4892943637295066	2
136.0	Cc72_00006229-RA	0.9791082465161405	0.5099484135656694	1.4890566600818098	6
137.0	Cc72_00001195-RA	0.9920501049545462	0.4967290944078267	1.488779199362373	6
138.0	Cc72_00023659-RA	0.9913899247481474	0.49663096618051716	1.4880208909286645	2
139.0	Cc72_00042552-RA	0.9643341662466349	0.5234675641972398	1.4878017304438749	6
140.0	Cc72_00020209-RA	0.991651117645753	0.4957516242536068	1.4874027418993598	6
141.0	Cc72_00044069-RA	0.9939072128947962	0.49347957079031785	1.487386783685114	2
142.0	Cc72_00051363-RA	0.9360704065578476	0.5510540569426557	1.4871244635005034	4
143.0	Cc72_00011757-RA	0.9563842819844162	0.5306726891188179	1.4870569711032342	2
144.0	Cc72_00015989-RA	0.9866716749016201	0.5002169348164065	1.4868886097180267	2
145.0	Cc72_00035778-RA	0.9555360854547861	0.5312083922347016	1.4867444776894878	6
146.0	Cc72_00015504-RA	0.8235320678942996	0.6631570953379738	1.4866891632322734	2
147.0	Cc72_00000482-RA	0.5683812914643378	0.9179945292270846	1.4863758206914224	0
148.0	Cc72_00027596-RA	0.9756835276844001	0.5100022183782227	1.485685746062623	6
149.0	Cc72_00034867-RA	0.9280814669255629	0.5574530601551219	1.4855345270806848	4
150.0	Cc72_00045256-RA	0.9378922228614495	0.5473066305792537	1.485198853440703	4
151.0	Cc72_00002412-RA	0.9731188338868224	0.5119696690383224	1.4850885029251448	2
152.0	Cc72_00050451-RA	0.5780415097565723	0.9069614519658891	1.4850029617224614	0
153.0	Cc72_00043131-RA	0.9373272675709219	0.5475228098565419	1.4848500774274638	2
154.0	Cc72_00042048-RA	0.991989489661804	0.4928371156801065	1.4848266053419106	2
155.0	Cc72_00053038-RA	0.9818527196874657	0.5027703304155655	1.484623050103031	2
155.0	Cc72_00053044-RA	0.9818527196874657	0.5027703304155655	1.484623050103031	2
155.0	Cc72_00053049-RA	0.9818527196874657	0.5027703304155655	1.484623050103031	2
158.0	Cc72_00007389-RA	0.9877421058489468	0.49655407195127554	1.4842961778002224	2
159.0	Cc72_00015038-RA	0.902495438582192	0.5817589236512619	1.4842543622334539	4
160.0	Cc72_00051910-RA	0.9736366300280835	0.5106055546873182	1.4842421847154017	6
161.0	Cc72_00028051-RA	0.9812274504886065	0.5029000538483721	1.4841275043369786	6
162.0	Cc72_00033889-RA	0.9539109351078567	0.530215929858041	1.4841268649658979	2
163.0	Cc72_00009135-RA	0.9636100787259119	0.5204618309212493	1.4840719096471613	6
164.0	Cc72_00014078-RA	0.984543223330802	0.4994241357551085	1.4839673590859106	2
165.0	Cc72_00033422-RA	0.9825260227527396	0.5011575954140847	1.4836836181668243	2
166.0	Cc72_00055209-RA	0.9469927026415288	0.5366902690945455	1.4836829717360742	4
167.0	Cc72_00040846-RA	0.9694052226594408	0.5142680471760779	1.4836732698355188	6
168.0	Cc72_00027058-RA	0.9725861144154805	0.5109681829446038	1.4835542973600844	6
169.0	Cc72_00028237-RA	0.9796423434758026	0.5037634353234556	1.4834057787992583	2
170.0	Cc72_00034913-RA	0.9682721839833228	0.5149519701589597	1.4832241541422824	2
171.0	Cc72_00002279-RA	0.9822221950269312	0.5009560415563116	1.4831782365832429	6
172.0	Cc72_00033796-RA	0.9807244699384345	0.5024426362416538	1.4831671061800882	4
173.0	Cc72_00045986-RA	0.9798248919182705	0.5030416829774158	1.4828665748956862	6
174.0	Cc72_00014408-RA	0.862461758203418	0.6203978609651339	1.482859619168552	3
175.0	Cc72_00034778-RA	0.9345697591904936	0.5482258994671746	1.4827956586576683	6
176.0	Cc72_00013312-RA	0.9605670615767552	0.5219488723017665	1.4825159338785217	2
177.0	Cc72_00034112-RA	0.9629442789279452	0.5195109596685294	1.4824552385964747	6
178.0	Cc72_00044696-RA	0.8949678903030228	0.5874774157737703	1.482445306076793	4
179.0	Cc72_00039139-RA	0.9539207302062688	0.5279658355828857	1.4818865657891545	6
180.0	Cc72_00040555-RA	0.991598761126801	0.49025735874099186	1.4818561198677929	2
181.0	Cc72_00034130-RA	0.9838264934728622	0.4980240377144046	1.4818505311872667	6
